iter	Passed	Remaining
413	9373	13267
414	9402	13254
415	9429	13238
416	9453	13217
417	9475	13193
418	9505	13180
419	9528	13158
420	9551	13135
421	9577	13117
422	9602	13098
423	9628	13080
424	9760	13205
425	9838	13256
426	9867	13241
427	9899	13229
428	9925	13211
429	9969	13214
430	10002	13204
431	10028	13185
432	10053	13164
433	10083	13150
434	10114	13137
435	10141	13118
436	10165	13096
437	10188	13073
438	10215	13054
439	10239	13032
440	10267	13015
441	10294	12996
442	10318	12973
443	10343	12953
444	10368	12932
445	10399	12918
446	10427	12900
447	10450	12876
448	10480	12860
449	10510	12845
450	10534	12823
451	10558	12801
452	10580	12775
453	10600	12748
454	10619	12720
455	10639	12692
456	10661	12667
457	10682	12641
458	10706	12619
459	10725	12590
460	10743	12561
461	10760	12530
462	10776	12499
463	10793	12468
464	10811	12438
465	10828	12408
466	10843	12376
467	10859	12344
468	10875	12313
469	10891	12281
470	10905	12248
471	10920	12216
472	10938	12187
473	10953	12155
474	10971	12126
475	10986	12094
476	11001	12062
477	11016	12030
478	11031	11999
479	11047	11967
480	11059	11933
481	11074	11902
482	11088	11869
483	11102	11836
484	11121	11809
485	11138	11780
486	11157	11752
487	11174	11724
488	11196	11699
489	11213	11671
490	11230	11641
491	11245	11611
492	11258	11577
493	11271	11545
494	11286	11514
495	11301	11483
496	11316	11452
497	11334	11425
498	11354	11399
499	11370	11370
500	11387	11342
501	11406	11316
502	11423	11287
503	11441	11260
504	11460	11233
505	11478	11205
506	11494	11176
507	11509	11147
508	11525	11118
509	11541	11088
510	11556	11059
511	11572	11030
512	11588	11001
513	11604	10972
514	11621	10944
515	11638	10917
516	11655	10888
517	11671	10859
518	11686	10831
519	11703	10803
520	11719	10774
521	11734	10745
522	11752	10718
523	11770	10692
524	11791	10668
525	11810	10642
526	11828	10616
527	11852	10595
528	11872	10570
529	11895	10548
530	11915	10524
531	11936	10500
532	11960	10479
533	11982	10456
534	12002	10431
535	12023	10408
536	12044	10384
537	12066	10362
538	12098	10347
539	12120	10324
540	12142	10302
541	12164	10279
542	12186	10256
543	12209	10234
544	12235	10215
545	12255	10190
546	12274	10165
547	12298	10144
548	12319	10120
549	12335	10092
550	12352	10065
551	12370	10039
552	12386	10012
553	12403	9985
554	12420	9958
555	12437	9932
556	12453	9904
557	12468	9876
558	12483	9848
559	12501	9822
560	12525	9801
561	12548	9779
562	12575	9761
563	12606	9745
564	12635	9728
565	12666	9712
566	12767	9750
567	12837	9763
568	12862	9742
569	12886	9721
570	12909	9699
571	12933	9677
572	12969	9664
573	12992	9642
574	13011	9617
575	13031	9592
576	13058	9573
577	13086	9554
578	13110	9532
579	13133	9510
580	13161	9491
581	13185	9469
582	13208	9447
583	13231	9425
584	13251	9400
585	13273	9377
586	13295	9354
587	13318	9332
588	13340	9309
589	13363	9286
590	13385	9263
591	13406	9239
592	13427	9215
593	13447	9191
594	13467	9166
595	13485	9141
596	13504	9115
597	13520	9088
598	13539	9063
599	13561	9040
600	13582	9017
601	13601	8992
602	13625	8970
603	13646	8947
604	13665	8922
605	13692	8902
606	13711	8877
607	13729	8851
608	13748	8827
609	13770	8803
610	13790	8779
611	13812	8756
612	13835	8734
613	13855	8710
614	13875	8686
615	13895	8662
616	13912	8636
617	13929	8610
618	13946	8584
619	13962	8557
620	13979	8531
621	13995	8505
622	14011	8479
623	14028	8452
624	14043	8426
625	14060	8400
626	14077	8374
627	14093	8348
628	14110	8323
629	14126	8296
630	14144	8271
631	14163	8247
632	14184	8223
633	14206	8201
634	14227	8177
635	14247	8154
636	14271	8132
637	14292	8109
638	14313	8086
639	14334	8063
640	14353	8038
641	14371	8013
642	14390	7989
643	14410	7965
644	14431	7942
645	14452	7919
646	14471	7895
647	14492	7872
648	14513	7849
649	14536	7827
650	14556	7803
651	14583	7783
652	14603	7760
653	14619	7734
654	14638	7710
655	14654	7684
656	14668	7658
657	14685	7632
658	14700	7607
659	14719	7582
660	14736	7557
661	14753	7532
662	14774	7509
663	14792	7485
664	14813	7462
665	14832	7438
666	14850	7413
667	14867	7389
668	14885	7364
669	14900	7338
670	14915	7313
671	14932	7288
672	14953	7265
673	14971	7241
674	14989	7217
675	15009	7194
676	15027	7169
677	15045	7145
678	15061	7120
679	15080	7096
680	15098	7072
681	15112	7046
682	15128	7021
683	15146	6997
684	15164	6973
685	15182	6949
686	15199	6924
687	15217	6900
688	15236	6877
689	15256	6854
690	15277	6831
691	15298	6809
692	15317	6785
693	15333	6760
694	15350	6736
695	15371	6714
696	15392	6691
697	15413	6668
698	15432	6645
699	15452	6622
700	15471	6599
701	15488	6575
702	15506	6551
703	15523	6527
704	15543	6504
705	15561	6480
706	15583	6458
707	15602	6434
708	15623	6412
709	15644	6389
710	15663	6366
711	15685	6344
712	15706	6322
713	15725	6299
714	15742	6275
715	15760	6251
716	15778	6227
717	15801	6206
718	15826	6185
719	15852	6165
720	15878	6144
721	15907	6124
722	15949	6110
723	15987	6094
724	16016	6075
725	16036	6052
726	16057	6029
727	16078	6007
728	16099	5984
729	16122	5963
730	16145	5941
731	16169	5920
732	16195	5899
733	16218	5877
734	16242	5856
735	16261	5832
736	16282	5810
737	16301	5787
738	16320	5763
739	16341	5741
740	16362	5719
741	16384	5696
742	16404	5674
743	16426	5652
744	16445	5629
745	16464	5605
746	16483	5582
747	16506	5560
748	16526	5538
749	16544	5514
750	16572	5494
751	16589	5471
752	16607	5447
753	16624	5424
754	16646	5401
755	16671	5380
756	16692	5358
757	16712	5335
758	16732	5312
759	16752	5290
760	16771	5267
761	16789	5243
762	16806	5220
763	16823	5196
764	16842	5173
765	16861	5150
766	16880	5128
767	16899	5104
768	16920	5082
769	16940	5060
770	16958	5036
771	16981	5015
772	17001	4992
773	17020	4969
774	17040	4947
775	17059	4924
776	17078	4901
777	17097	4878
778	17116	4855
779	17135	4833
780	17156	4810
781	17181	4789
782	17202	4767
783	17220	4744
784	17240	4721
785	17262	4699
786	17283	4677
787	17303	4655
788	17322	4632
789	17341	4609
790	17361	4587
791	17384	4565
792	17408	4544
793	17428	4521
794	17447	4499
795	17466	4476
796	17486	4453
797	17505	4431
798	17525	4408
799	17546	4386
800	17566	4364
801	17586	4341
802	17605	4319
803	17624	4296
804	17645	4274
805	17667	4252
806	17690	4230
807	17713	4209
808	17735	4187
809	17759	4165
810	17780	4143
811	17803	4121
812	17822	4099
813	17842	4077
814	17862	4054
815	17878	4031
816	17894	4008
817	17911	3985
818	17928	3962
819	17946	3939
820	17962	3916
821	17977	3893
822	17994	3870
823	18011	3847
824	18029	3824
825	18046	3801
826	18068	3779
827	18088	3757
828	18107	3735
829	18125	3712
830	18148	3690
831	18166	3668
832	18186	3646
833	18207	3623
834	18227	3601
835	18250	3580
836	18267	3557
837	18282	3534
838	18299	3511
839	18314	3488
840	18329	3465
841	18344	3442
842	18360	3419
843	18376	3396
844	18391	3373
845	18406	3350
846	18421	3327
847	18437	3304
848	18452	3281
849	18467	3258
850	18482	3235
851	18495	3212
852	18513	3190
853	18527	3167
854	18542	3144
855	18557	3121
856	18571	3098
857	18586	3076
858	18602	3053
859	18617	3030
860	18634	3008
861	18652	2986
862	18667	2963
863	18682	2940
864	18697	2918
865	18712	2895
866	18726	2872
867	18741	2850
868	18756	2827
869	18780	2806
870	18795	2783
871	18808	2760
872	18823	2738
873	18839	2715
874	18854	2693
875	18872	2671
876	18890	2649
877	18910	2627
878	18926	2605
879	18942	2583
880	18958	2560
881	18974	2538
882	18989	2516
883	19004	2493
884	19020	2471
885	19035	2449
886	19054	2427
887	19071	2405
888	19086	2383
889	19101	2360
890	19122	2339
891	19143	2317
892	19163	2296
893	19185	2274
894	19207	2253
895	19227	2231
896	19249	2210
897	19269	2188
898	19288	2167
899	19307	2145
900	19328	2123
901	19349	2102
902	19370	2080
903	19389	2059
904	19407	2037
905	19425	2015
906	19443	1993
907	19463	1972
908	19484	1950
909	19502	1928
910	19520	1907
911	19538	1885
912	19555	1863
913	19572	1841
914	19589	1819
915	19607	1798
916	19624	1776
917	19641	1754
918	19658	1732
919	19674	1710
920	19691	1689
921	19708	1667
922	19724	1645
923	19741	1623
924	19758	1602
925	19775	1580
926	19791	1558
927	19807	1536
928	19823	1515
929	19839	1493
930	19857	1471
931	19876	1450
932	19895	1428
933	19912	1407
934	19928	1385
935	19944	1363
936	19962	1342
937	19978	1320
938	19994	1298
939	20010	1277
940	20026	1255
941	20043	1234
942	20058	1212
943	20073	1190
944	20089	1169
945	20104	1147
946	20119	1126
947	20137	1104
948	20151	1082
949	20166	1061
950	20181	1039
951	20196	1018
952	20213	996
953	20230	975
954	20258	954
955	20276	933
956	20297	911
957	20315	890
958	20333	869
959	20352	848
960	20369	826
961	20387	805
962	20407	784
963	20425	762
964	20448	741
965	20469	720
966	20488	699
967	20509	678
968	20532	656
969	20553	635
970	20571	614
971	20588	593
972	20605	571
973	20622	550
974	20639	529
975	20655	507
976	20672	486
977	20687	465
978	20707	444
979	20725	422
980	20742	401
981	20758	380
982	20774	359
983	20791	338
984	20806	316
985	20822	295
986	20838	274
987	20854	253
988	20868	232
989	20884	210
990	20899	189
991	20915	168
992	20930	147
993	20945	126
994	20960	105
995	20976	84
996	20992	63
997	21008	42
998	21023	21
999	21041	0
